 ,Label,Area1,Mean1,Min1,Max1,Median1,Area2,Mean2,Min2,Max2,Median2,Area3,Mean3,Min3,Max3,Median3,Area4,Mean4,Min4,Max4,Median4,Area5,Mean5,Min5,Max5,Median5,Area6,Mean6,Min6,Max6,Median6,Area7,Mean7,Min7,Max7,Median7,Area8,Mean8,Min8,Max8,Median8
1,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,36.700,8,174,27,0.433,71.663,19,255,41,0.516,79.976,22,197,62,0.478,11.991,6,20,12,0.466,12.304,4,21,13,0.433,37.288,15,75,33,0.287,50.348,9,175,31,0.478,28.043,15,41,28
2,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,35.029,13,149,27,0.433,70.702,18,232,48,0.516,78.355,23,207,60,0.478,12.504,4,21,13,0.466,12.268,4,24,12,0.433,37.019,15,82,35,0.287,46.391,8,151,32,0.478,28.504,17,43,28
3,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,33.971,12,159,26,0.433,70.154,17,234,44,0.516,78.798,19,196,61,0.478,11.313,4,20,12,0.466,12.518,5,23,13,0.433,38.317,18,71,34,0.287,48.130,12,162,33,0.478,28.217,17,39,28
4,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,34.071,13,130,27,0.433,69.519,17,226,46,0.516,76.742,22,197,58,0.478,10.939,4,23,10,0.466,12.411,5,22,13,0.433,36.615,17,65,34,0.287,53.768,10,179,34,0.478,28.017,14,44,28
5,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.700,7,113,26,0.433,73.202,20,241,51,0.516,73.710,21,188,57,0.478,11.713,2,20,12,0.466,11.902,5,20,12,0.433,35.942,17,65,33,0.287,54.826,10,177,37,0.478,26.530,13,37,27
6,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,30.243,10,114,25,0.433,71.404,18,235,51,0.516,78.056,17,189,64,0.478,11.609,4,22,12,0.466,12.661,5,23,13,0.433,37.125,15,73,35,0.287,56.768,7,174,38,0.478,26.774,15,40,26
7,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,31.800,15,118,24,0.433,74.385,20,224,52,0.516,80.742,17,217,72,0.478,11.904,5,20,12,0.466,12.125,4,20,12,0.433,38.625,18,74,35,0.287,55.507,11,188,38,0.478,26.817,15,39,27
8,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.029,16,95,25,0.433,75.106,18,235,56,0.516,80.702,20,205,67,0.478,11.609,5,22,11,0.466,12.705,7,24,13,0.433,39.721,15,76,37,0.287,53.667,10,181,37,0.478,26.365,16,37,26
9,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,28.314,11,88,23,0.433,77.683,19,239,55,0.516,81.129,23,214,64,0.478,11.704,4,17,12,0.466,13.188,4,24,13,0.433,40.317,15,80,35,0.287,58.797,10,191,42,0.478,26.791,17,41,26
10,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,30.229,14,91,26,0.433,75.654,18,250,52,0.516,86.073,19,220,71,0.478,11.339,1,21,11,0.466,14.098,5,25,14,0.433,42.615,16,88,39,0.287,60.478,10,195,46,0.478,26.400,16,38,26
11,cos7WT-cgamutantgfp-PLL-Ba2mM-boite1-11052021.lif - Series005,0.291,29.443,12,90,26,0.433,77.894,19,253,47,0.516,77.806,21,190,65,0.478,11.052,3,20,11,0.466,13.223,5,28,13,0.433,40.481,20,82,37,0.287,62.406,8,196,44,0.478,26.809,14,36,27
